fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
1,3393257,3013530001,971.97562,14057.66054,0.06914,1921,485656,59.24,2100,90,Good,,1,1,0,DPR,119 TROY AVENUE,BK,C,PARK,,0,-73.93491,40.67389
2,1010518,1006060004,696.97393,4463.34665,0.15616,1920,63711,13.69,2100,21,Good,,1,0,0,classification,18 GREENWICH AVENUE,MN,,C1-6,,0,-73.99982,40.73481
3,1010288,1005947501,293.99617,13217.61133,0.02224,1909,84851,93.78,2100,7,Good,,1,0,0,classification,479 GREENWICH STREET,MN,,C6-2A,,0,-74.00906,40.7248
4,1001596,1001467503,759.21592,4311.07761,0.17611,1920,821215,99.98,2100,21,Good,,1,0,0,classification,104 READE STREET,MN,,C6-2A,TMU,0,-74.00836,40.71595
5,2117344,2023597501,7204.18379,35891.53358,0.20072,2010,1257143,206.20024,2100,10,Good,,1,1,0,greenroofs.com,700-704 BROOK AVENUE,BX,,C6-2,,0,-73.91227,40.81906
6,1042879,1014070068,155.30903,1124.72141,0.13809,1915,599,54.64,2100,62,Good,,1,0,0,classification,112 EAST 73 STREET,MN,P,R8B,,0,-73.96282,40.77134
7,1012012,1006377501,147.79476,5813.54837,0.02542,1913,704281,118.66,2100,13,Good,,1,0,0,classification,155 PERRY STREET,MN,P,C1-6A,,0,-74.00885,40.73503
8,1019510,1008960017,215.61508,4939.83407,0.04365,1988,234905,66.38,2100,30,Good,,1,0,0,classification,235 EAST 14 STREET,MN,P,C1-6A,,0,-73.9854,40.73294
9,1002851,1002207506,230.93967,2200.35008,0.10496,0,169547,61.27,2100,12,Good,,1,0,0,classification,46 LAIGHT STREET,MN,,C6-2A,TMU,1,-74.00785,40.72211
10,1042871,1014070068,238.5425,1130.29789,0.21104,1915,327884,54.01,2100,62,Good,,1,0,0,classification,112 EAST 73 STREET,MN,P,R8B,,0,-73.96287,40.77136
11,1028830,1011320020,54774.35884,152909.1187,0.35822,1950,109936,179.77497,2100,90,Good,at least some green roof,1,0,0,classification,155 WEST 60 STREET,MN,P,C4-7,L,0,-73.98513,40.77092
12,1034510,1012670001,2010.15223,86153.41588,0.02333,1963,36152,568.15,2100,65,Good,,1,0,0,classification,1290 AVENUE OF THE AMER,MN,P,C5-2.5,MID,0,-73.97867,40.76009
13,1005136,1004040027,262.8809,1615.79312,0.16269,1900,495581,46.43,2100,14,Good,,1,0,0,classification,546 EAST 11 STREET,MN,P,R7A,,0,-73.97994,40.72744
14,1040463,1013670026,161.3,8404.88871,0.01919,1953,99559,230.98,2100,35,Good,,1,0,0,classification,20 SUTTON PLACE SOUTH,MN,,R10,,0,-73.96148,40.75658
15,1087526,1008270001,1237.85663,29374.64689,0.04214,2005,1075771,410.55639,2100,40,Good,,1,0,0,classification,55 WEST 25 STREET,MN,,C6-4X,,0,-73.99113,40.74436
16,1000053,1000167515,353.17593,21232.09725,0.01663,1985,742252,210.75,2100,12,Good,at least some green roof,1,0,0,classification,225 RECTOR PLACE,MN,X,BPC,BPC,0,-74.01624,40.70933
