date,prec,temp,q,flow,p1,p2
40238,137.5,23.97741935,132.1334,3.058648387,247.9,27.2
40269,42.5,22.41,114.1101,2.72949,85.1,
40299,72.5,20.78580645,94.0366,2.176751613,26.8,117.9
40330,52.5,18.384,78.3973,1.87524,0.8,104.3
40360,117.1,19.75612903,72.7495,1.684022581,,234.7
40391,71.2,20.07225806,65.4181,1.514309677,,143.9
40422,151.2,21.54933333,62.3261,1.490836667,71,231.4
40452,131.3,22.43096774,79.0101,1.828932258,216.6,45.6
40483,213.5,22.00933333,167.1076,3.997176667,396.6,30
40513,212.4,24.09548387,231.6618,5.362551613,293.2,131.4
40544,217,23.6283871,209.5041,4.849632258,317.9,116.5
40575,96.1,25.05214286,103.3495,2.648660714,66.6,125.3
40603,198.3,22.93290323,206.7322,4.785467742,334.5,61.8
40634,152.9,22.55066667,135.5161,3.241516667,98.7,206.9
40664,19.8,20.50129032,102.1888,2.365493548,5,34.4
40695,70.6,19.20466667,88.7403,2.122616667,14.6,126.6
40725,83.8,19.57612903,81.9402,1.896758065,,167.5
40756,52.7,21.95741935,75.9962,1.759158065,,105.5
40787,32.8,21.502,64.1411,1.53423,1.4,64.3
40817,184.1,21.38516129,75.633,1.750758065,178.8,189.9
40848,174.8,21.008,185.9924,4.448883333,288.7,60.8
40878,368.7,21.71806452,467.3409,10.81807419,720,17.3
40909,267.6,22.50451613,595.7926,13.79149677,407.5,127.6
40940,57.3,23.84827586,183.0948,4.530596552,34.3,80.4
40969,124.2,23.24322581,157.2388,3.639796774,196.4,52.4
41000,106.3,22.84,128.9813,3.085196667,111.3,101.6
41030,39.2,19.55354839,124.3669,2.878848387,61.1,17.4
41061,29.7,20.58066667,107.1417,2.562793333,17,42
41091,44.9,19.86709677,94.3923,2.185019355,,90
41122,54.1,19.34774194,86.0878,1.992764516,,108.1
41153,110.8,22.37266667,75.4211,1.804046667,22.8,199
41183,143,23.86451613,79.4658,1.839487097,32.1,253.8
41214,168.7,22.66533333,117.1682,2.802633333,310,28.3
41244,191.5,25.22451613,88.9238,2.058416129,143,240.5
41275,261.2,23.09096774,199.6358,4.621196774,426.8,96
41306,69.9,24.40071429,132.6712,3.400132143,75.4,64.4
41334,109.4,23.48516129,126.0157,2.917032258,127.9,91.4
41365,144.3,21.26066667,125.9731,3.013246667,99.4,189.4
41395,87.4,20.56451613,94.1831,2.180158065,46.7,128.1
41426,38.5,20.55,88.3485,2.11326,23.1,54
41456,35.3,20.03290323,77.6485,1.7974,,70.5
41487,64,20.50322581,69.7547,1.614674194,,128.2
41518,42.8,21.59066667,65.4606,1.56581,32.8,52.6
41548,139.4,21.38193548,78.6085,1.819629032,137.7,141.3
41579,152.6,22.378,90.5502,2.165933333,108.2,197.2
41609,255.3,23.12451613,284.7434,6.591280645,495,16.1
41640,160,24.75612903,101.4179,2.347629032,103.9,216.2
41671,134,24.52857143,79.1403,2.028228571,22.9,245.4
41699,136.6,23.1483871,76.4296,1.769193548,73.7,199.5
41730,150.4,22.35066667,88.4159,2.114876667,235.8,65.2
41760,57.5,20.68806452,64.6322,1.496112903,18.5,96.4
41791,76.9,19.98266667,52.2549,1.249923333,13.1,140.5
41821,165.2,18.84,52.1235,1.206567742,48.1,282.5
41852,46.1,20.51870968,50.287,1.16406129,3.3,89.2
41883,86.4,22.40333333,35.0736,0.83896,1.8,171.3
41913,156.3,22.89032258,39.0233,0.903319355,69.4,243.4
41944,147.1,22.77066667,87.5536,2.094256667,215.5,79.1
41974,132.3,23.87741935,75.907,1.7571,138.1,126.6
42005,130.3,25.57096774,45.0819,1.043554839,103.8,156.5
42036,169.7,23.70714286,99.2901,2.544639286,263.8,75.4
42064,162.3,23.91483871,188.1656,4.355683871,237.2,87.1
